日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
110/11/01,17110357,10107402871,591.0,593.0,590.0,590.0,0.0,13798
110/11/02,16544999,9808608554,594.0,597.0,590.0,592.0,2.0,11662
110/11/03,11404984,6773439607,597.0,597.0,592.0,592.0,0.0,8934
110/11/04,18888245,11112246412,592.0,594.0,585.0,587.0,-5.0,22171
110/11/05,35086799,20974569571,598.0,600.0,595.0,600.0,13.0,31929
