Date,High,Low,Open,Close,Volume,Adj Close,close,EMA5,EMA10,MACD,MACDsignal,MACDhist,k,d,upperband,middleband,lowerband,predict
2021-02-24,636.0,625.0,627.0,625.0,66206750.0,611.2151489257812,625.0,,,,,,,,,,,0
2021-02-25,636.0,628.0,636.0,635.0,43231417.0,620.9945068359375,635.0,,,,,,,,,,,0
2021-02-26,618.0,606.0,611.0,606.0,111861175.0,592.63427734375,606.0,,,,,,,,,,,0
2021-03-02,622.0,609.0,621.0,609.0,54041533.0,595.5680541992188,609.0,,,,,,,,,,,0
2021-03-03,622.0,601.0,609.0,622.0,48252965.0,608.2813110351562,622.0,619.4,,,,,,,640.739165869361,619.4,598.0608341306389,0
2021-03-04,611.0,601.0,609.0,601.0,67711962.0,587.7445068359375,601.0,613.2666666666667,,,,,,,639.2771149042987,614.6,589.9228850957013,0
2021-03-05,605.0,584.0,588.0,601.0,79918467.0,587.7445068359375,601.0,609.1777777777778,,,,,,,623.2609184720714,607.8,592.3390815279286,0
2021-03-08,610.0,598.0,608.0,598.0,43219772.0,584.8106689453125,598.0,605.4518518518519,,,,,,,623.6080441175856,606.2,588.7919558824145,1
2021-03-09,595.0,585.0,585.0,595.0,68768861.0,581.8768310546875,595.0,601.9679012345679,,,,,,,622.5248529406113,603.4,584.2751470593887,1
2021-03-10,601.0,593.0,601.0,597.0,40146301.0,583.832763671875,597.0,600.3119341563786,608.9,,,,,,603.0647615158772,598.4,593.7352384841228,1
2021-03-11,612.0,595.0,596.0,609.0,54416046.0,595.5680541992188,609.0,603.2079561042524,608.9181818181818,,,,,,609.7979589711327,600.0,590.2020410288673,1
2021-03-12,618.0,609.0,615.0,614.0,33168846.0,600.4578247070312,614.0,606.8053040695016,609.8421487603306,,,,,,617.5986666074009,602.6,587.6013333925991,0
2021-03-15,614.0,609.0,614.0,611.0,27416758.0,597.52392578125,611.0,608.2035360463344,610.0526671675432,,,,71.9298245614035,55.27440395861448,620.6090882274048,605.2,589.7909117725953,0
2021-03-16,613.0,607.0,610.0,613.0,36949425.0,599.4799194335938,613.0,609.802357364223,610.5885458643535,,,,78.4313725490196,68.98004815961473,621.0898331966007,608.8,596.5101668033992,0
2021-03-17,612.0,602.0,612.0,604.0,39517807.0,593.09716796875,604.0,607.8682382428153,609.3906284344711,,,,71.7234262125903,74.02820777433782,617.2880180586507,610.2,603.1119819413494,0
2021-03-18,609.0,602.0,606.0,602.0,29415526.0,591.1332397460938,602.0,605.9121588285435,608.0468778100218,,,,65.21093285799168,71.78857720653387,618.548846085577,608.8,599.0511539144229,0
2021-03-19,598.0,591.0,594.0,591.0,70866028.0,580.3318481445312,591.0,600.941439219029,604.947445480927,,,,42.840166369578135,59.924841813386706,619.7640611666673,604.2,588.6359388333328,0
2021-03-22,598.0,586.0,588.0,593.0,34089033.0,582.2957763671875,593.0,598.294292812686,602.7751826662129,,,,30.523989898989907,46.19169637551991,616.5298462013849,600.6,584.6701537986152,0
2021-03-23,603.0,593.0,597.0,594.0,29374037.0,583.2777099609375,594.0,596.8628618751239,601.1796949087196,,,,21.685606060606066,31.683254109724704,607.1846039886129,596.8,586.415396011387,0
2021-03-24,582.0,571.0,571.0,576.0,107253959.0,565.6026611328125,576.0,589.908574583416,596.6015685616796,-6.781994828798474,-4.598233531761947,-2.1837612970365274,19.17109929078015,23.793565083458713,608.1422548676321,591.2,574.257745132368,1
2021-03-25,581.0,570.0,572.0,575.0,67833354.0,564.6206665039062,575.0,584.9390497222773,592.6740106413743,-7.884322070774601,-5.2554512395644775,-2.628870831210124,15.667311411992268,18.841338921126162,602.7422548676458,585.8,568.8577451323541,1
2021-03-26,592.0,580.0,582.0,590.0,36829858.0,579.3499755859375,590.0,586.6260331481849,592.1878268883971,-6.225978224901951,-5.449556636631972,-0.7764215882699785,22.83785404765118,19.22542158347453,602.314065932617,585.6,568.885934067383,0
2021-03-29,602.0,596.0,599.0,599.0,37884733.0,588.1874389648438,599.0,590.7506887654566,593.4264038177795,-3.7631999345436498,-5.112285296214308,1.3490853616706584,42.30762777274406,26.937597744129175,606.1245957266945,586.8,567.4754042733055,1
2021-03-30,600.0,592.0,600.0,597.0,33099123.0,586.2235717773438,597.0,592.8337925103044,594.0761485781832,-2.373028443248245,-4.5644339256210955,2.1914054823728506,61.596672061788354,42.24738462739453,607.7410914161517,587.4,567.0589085838483,1
2021-03-31,597.0,587.0,596.0,587.0,38790886.0,576.404052734375,587.0,590.8891950068696,592.7895761094226,-2.7471872806742113,-4.200984596631718,1.453797315957507,63.264513264513276,55.7229376996819,606.6458206021249,589.6,572.5541793978751,1
2021-04-01,602.0,594.0,598.0,602.0,43091157.0,591.1332397460938,602.0,594.5927966712464,594.4641986349822,-0.8745497744735076,-3.535697632200076,2.6611478577265686,72.57187257187258,65.8110192993914,606.24277545804,595.0,583.75722454196,1
2021-04-07,614.0,608.0,614.0,610.0,24603109.0,598.9888916015625,610.0,599.7285311141643,597.2888897922581,1.3506509061742236,-2.5584279245252164,3.90907883069944,79.7979797979798,71.87812187812189,613.9130815058427,599.0,584.0869184941573,0
2021-04-08,613.0,603.0,606.0,613.0,23976625.0,601.9347534179688,613.0,604.1523540761095,600.1454552845748,3.031787541459039,-1.4403848313283654,4.472172372787404,95.20202020202021,82.52395752395753,620.450469163008,601.8,583.1495308369919,0
2021-04-09,618.0,609.0,618.0,610.0,27303862.0,598.9888916015625,610.0,606.1015693840731,601.9371906873794,3.518989352171502,-0.4485099946283919,3.967499346799894,90.65656565656566,88.55218855218857,623.2722017793407,604.4,585.5277982206593,1
2021-04-12,613.0,603.0,612.0,605.0,22606128.0,594.0791015625,605.0,605.734379589382,602.4940651078558,2.99943047503416,0.2410780993041184,2.758352375730041,82.28335991493887,89.38064859117492,615.8993670632467,608.0,600.1006329367533,1
2021-04-13,613.0,604.0,604.0,605.0,25971622.0,594.0791015625,605.0,605.4895863929213,602.9496896337002,2.553568275663906,0.7035761345760759,1.8499921410878302,69.06244104885872,80.66745554012108,614.8737548565329,608.6,602.3262451434672,1
2021-04-14,612.0,600.0,608.0,612.0,30077913.0,600.9527587890625,612.0,607.6597242619475,604.5952006093911,3.094923285905452,1.181845564841951,1.9130777210635008,68.16638370118847,73.17072822166203,615.8117545463638,609.0,602.1882454536362,0
2021-04-15,619.0,607.0,612.0,619.0,33530942.0,607.826416015625,619.0,611.4398161746317,607.2142550440473,4.209152213594052,1.7873068945923714,2.421845319001681,79.56989247311829,72.26623907438851,620.5846039885906,610.2,599.8153960114095,0
2021-04-16,611.0,603.0,610.0,610.0,48507383.0,598.9888916015625,610.0,610.9598774497545,607.7207541269478,3.5107564132478046,2.131996798323458,1.3787596149243466,81.5483870967742,76.42822109036034,620.5846039885906,610.2,599.8153960114095,0
2021-04-19,607.0,601.0,605.0,603.0,24231637.0,592.1152954101562,603.0,608.306584966503,606.8624351947755,2.011253175093543,2.107848073677475,-0.09659489858393178,59.92982456140353,73.6827013770987,621.0712022428962,609.8,598.5287977571037,0
2021-04-20,602.0,595.0,598.0,602.0,34771635.0,591.1332397460938,602.0,606.2043899776687,605.9783560684526,0.8846851443369133,1.8632154878093625,-0.9785303434724493,36.318713450292414,59.265641702823395,621.6835892274465,609.2,596.7164107725536,0
2021-04-21,599.0,592.0,599.0,592.0,38458220.0,581.3137817382812,592.0,601.4695933184458,603.4368367832794,-1.153776199278127,1.2598171503918647,-2.4135933496699917,14.985380116959083,37.07797270955169,623.1510445378468,605.2,587.2489554621533,1
2021-04-22,598.0,591.0,596.0,591.0,33868521.0,580.3318481445312,591.0,597.9797288789639,601.175593731774,-2.4669659696265853,0.5144605263881746,-2.98142649601476,9.722222222222241,20.342105263157926,613.9443368616251,599.6,585.255663138375,1
2021-04-23,602.0,590.0,592.0,602.0,27754511.0,591.1332397460938,602.0,599.3198192526426,601.3254857805424,-1.7016645794140004,0.07123550522773964,-1.77290008464174,13.79310344827588,12.83356859581908,608.6583300755838,598.0,587.3416699244162,0
